LatitudeMeasure,LongitudeMeasure,MonitoringLocationIdentifier,Elev_m
40.50403,-110.58111,UTAHDWQ_WQX-4935450,2215.42
40.20761,-110.13249,UTAHDWQ_WQX-4935733,1568.4
40.20885,-110.11738,UTAHDWQ_WQX-4935740,1561.58
40.20885,-110.11738,UTAHDWQ_WQX-4935742,1561.58
40.35761,-110.31338,UTAHDWQ_WQX-4935820,1912.01
39.99607,-110.58459,UTAHDWQ_WQX-4936000,2081.6
39.99205,-110.81388,UTAHDWQ_WQX-4936045,2072.45
40.19154,-110.51672,UTAHDWQ_WQX-4936083,1750.42
39.99277,-110.81493,UTAHDWQ_WQX-4936110,2073.07
40.12662,-110.74182,UTAHDWQ_WQX-4936130,1848.43
40.15468,-110.55487,UTAHDWQ_WQX-4936150,1746.49
40.15468,-110.55487,UTAHDWQ_WQX-4936151,1746.49
40.19501,-110.87039,UTAHDWQ_WQX-4936194,1995.94
40.29939,-111.011,UTAHDWQ_WQX-4936200,2233.82
40.05938,-110.87567,UTAHDWQ_WQX-4936225,2235.07
40.11882,-110.7448,UTAHDWQ_WQX-4936260,1851.63
40.13359,-111.0254,UTAHDWQ_WQX-4936300,2243.5
40.23795,-111.18244,UTAHDWQ_WQX-4936530,2317.94
40.29579,-111.17322,UTAHDWQ_WQX-4936560,2450.61
40.20245,-111.18406,UTAHDWQ_WQX-4936600,2316.82
40.13132,-111.18015,UTAHDWQ_WQX-4936606,2328.82
40.11607,-111.17655,UTAHDWQ_WQX-4936610,2327.25
40.23329,-111.18823,UTAHDWQ_WQX-4936620,2325.88
40.2375,-111.18417,UTAHDWQ_WQX-4936650,2318.64
40.2375,-111.18417,UTAHDWQ_WQX-4936652,2318.64
40.36626,-111.22526,UTAHDWQ_WQX-4936685,2523.35
40.28106,-111.22631,UTAHDWQ_WQX-4936710,2360.53
40.46578,-110.83267,UTAHDWQ_WQX-4936770,2137.2
40.45023,-111.01238,UTAHDWQ_WQX-4936800,2388.19
40.74296,-109.68133,UTAHDWQ_WQX-4937732,2818.88
40.73551,-109.73821,UTAHDWQ_WQX-4937770,2945.56
40.5894,-109.46819,UTAHDWQ_WQX-4937860,1719.78
40.58746,-109.05734,UTAHDWQ_WQX-4937940,1690.97
40.74043,-109.42377,UTAHDWQ_WQX-4937976,2488.13
40.86522,-109.08256,UTAHDWQ_WQX-4938066,1696.08
40.88218,-109.14844,UTAHDWQ_WQX-4938110,1652.24
40.8995,-109.1718,UTAHDWQ_WQX-4938140,1660.54
40.88524,-109.27485,UTAHDWQ_WQX-4938310,1970.95
40.91174,-109.31313,UTAHDWQ_WQX-4938334,1694.52
40.91045,-109.31531,UTAHDWQ_WQX-4938338,1687.9
40.91045,-109.31531,UTAHDWQ_WQX-4938340,1687.9
40.90718,-109.30513,UTAHDWQ_WQX-4938350,1685.37
40.7944,-109.44403,UTAHDWQ_WQX-4938700,2490.26
40.78816,-109.47,UTAHDWQ_WQX-4938710,2480.21
40.82655,-109.44056,UTAHDWQ_WQX-4938720,2440.62
40.77468,-109.4718,UTAHDWQ_WQX-4938750,2492.83
40.80412,-109.45347,UTAHDWQ_WQX-4938780,2454.1
40.86385,-109.57737,UTAHDWQ_WQX-4938800,2242.15
40.87218,-109.69237,UTAHDWQ_WQX-4938830,2231.15
40.92746,-109.71987,UTAHDWQ_WQX-4938850,1883.93
40.92746,-109.71987,UTAHDWQ_WQX-4938852,1883.93
40.93746,-109.7682,UTAHDWQ_WQX-4938950,1976.31
40.94357,-110.16246,UTAHDWQ_WQX-4939280,2585.86
40.99356,-110.15626,UTAHDWQ_WQX-4939320,2432.98
40.99384,-110.1646,UTAHDWQ_WQX-4939340,2436.31
40.93328,-110.4015,UTAHDWQ_WQX-4939490,2866.45
40.94578,-110.57641,UTAHDWQ_WQX-4939530,2706.59
40.94689,-110.58127,UTAHDWQ_WQX-4939540,2712.98
40.94689,-110.58127,UTAHDWQ_WQX-4939542,2712.98
40.93967,-110.58836,UTAHDWQ_WQX-4939550,2733.48
40.92967,-110.60656,UTAHDWQ_WQX-4939570,2768.36
38.27997,-112.56788,UTAHDWQ_WQX-4940150,1890.32
38.95024,-112.26938,UTAHDWQ_WQX-4940200,1667.66
37.67341,-113.02912,UTAHDWQ_WQX-4940480,1847.55
37.58081,-113.52945,UTAHDWQ_WQX-4940654,1761.2
37.50598,-113.50009,UTAHDWQ_WQX-4940660,1907.46
39.20274,-111.7027,UTAHDWQ_WQX-4946360,1651.86
39.20274,-111.7027,UTAHDWQ_WQX-4946361,1651.86
39.54679,-111.51356,UTAHDWQ_WQX-4946750,1714.98
39.54679,-111.51356,UTAHDWQ_WQX-4946751,1714.98
39.57479,-111.47039,UTAHDWQ_WQX-4946756,1750.41
39.63829,-111.44658,UTAHDWQ_WQX-4946790,1816.66
39.6086,-111.44832,UTAHDWQ_WQX-4946839,1780.29
39.6086,-111.44832,UTAHDWQ_WQX-4946840,1780.29
38.3252,-111.95204,UTAHDWQ_WQX-4948722,1999.38
38.32555,-111.95086,UTAHDWQ_WQX-4948724,2000.25
38.34322,-111.9467,UTAHDWQ_WQX-4948727,2015.35
38.57994,-112.45193,UTAHDWQ_WQX-4948810,1992.93
38.5797,-112.28876,UTAHDWQ_WQX-4948820,1736.57
38.5797,-112.28876,UTAHDWQ_WQX-4948821,1736.57
38.2661,-111.95416,UTAHDWQ_WQX-4948870,1962.34
38.29574,-111.95199,UTAHDWQ_WQX-4948878,1975.7
38.31101,-111.95284,UTAHDWQ_WQX-4948885,1987.71
38.44054,-111.94825,UTAHDWQ_WQX-4948920,2138.67
38.35209,-111.94642,UTAHDWQ_WQX-4948940,2025.73
38.57998,-112.25798,UTAHDWQ_WQX-4948950,1687.77
38.56414,-111.84936,UTAHDWQ_WQX-4949070,2107.17
38.2004,-112.15335,UTAHDWQ_WQX-4949100,1871.45
38.44908,-112.22012,UTAHDWQ_WQX-4949131,1774.52
38.33191,-112.1884,UTAHDWQ_WQX-4949150,1802.89
38.10962,-112.00186,UTAHDWQ_WQX-4949260,1957.28
38.10185,-112.02147,UTAHDWQ_WQX-4949263,2006.41
38.20831,-112.20743,UTAHDWQ_WQX-4949420,1826.87
38.09809,-112.33604,UTAHDWQ_WQX-4949450,1905.4
37.49322,-112.33786,UTAHDWQ_WQX-4949464,2519.74
38.04727,-112.01977,UTAHDWQ_WQX-4949533,2169.07
38.00057,-112.05549,UTAHDWQ_WQX-4949583,2280.29
38.09588,-111.9208,UTAHDWQ_WQX-4949590,2068.64
38.09703,-111.91714,UTAHDWQ_WQX-4949591,2084.54
37.43097,-112.35125,UTAHDWQ_WQX-4949612,2545.42
37.74942,-112.37492,UTAHDWQ_WQX-4949630,2049.83
37.77179,-112.39102,UTAHDWQ_WQX-4949635,2042.96
37.94192,-112.4166,UTAHDWQ_WQX-4949640,1963.41
37.6515,-112.43043,UTAHDWQ_WQX-4949650,2095.01
37.8234,-112.40615,UTAHDWQ_WQX-4949660,2011.05
37.85164,-112.43604,UTAHDWQ_WQX-4949670,1993.09
37.85164,-112.43604,UTAHDWQ_WQX-4949671,1993.09
37.6281,-112.45531,UTAHDWQ_WQX-4949700,2114.48
37.58415,-112.4766,UTAHDWQ_WQX-4949900,2134.92
38.044,-111.97581,UTAHDWQ_WQX-4949910,2010.06
38.2661,-111.95416,UTAHDWQ_WQX-4949950,1962.34
38.01082,-111.96574,UTAHDWQ_WQX-4949970,2092.65
38.01082,-111.96574,UTAHDWQ_WQX-4949971,2092.65
38.01122,-111.96658,UTAHDWQ_WQX-4949980,2092.92
37.34692,-112.8242,UTAHDWQ_WQX-4951155,1872.01
37.39026,-112.8255,UTAHDWQ_WQX-4951260,1817.78
37.37098,-112.88277,UTAHDWQ_WQX-4951265,1696.19
37.37098,-112.88277,UTAHDWQ_WQX-4951266,1696.19
37.76471,-111.68351,UTAHDWQ_WQX-4953980,1861.7
37.85388,-111.35517,UTAHDWQ_WQX-4954080,1729.13
37.77625,-111.41878,UTAHDWQ_WQX-4954210,1581.92
38.30693,-111.51795,UTAHDWQ_WQX-4954380,2098.71
38.26998,-111.37546,UTAHDWQ_WQX-4954390,2012.59
38.52025,-111.57102,UTAHDWQ_WQX-4954550,2349.91
38.2872,-111.24767,UTAHDWQ_WQX-4954770,1646.71
38.29776,-111.29851,UTAHDWQ_WQX-4954775,1777.95
38.1801,-111.18087,UTAHDWQ_WQX-4954780,1804.83
38.0844,-111.14042,UTAHDWQ_WQX-4954795,1775.16
38.30693,-111.51795,UTAHDWQ_WQX-4954800,2098.71
38.39706,-111.6376,UTAHDWQ_WQX-4955310,2145.49
38.87617,-111.2912,UTAHDWQ_WQX-4955423,1830.2
37.98305,-109.51678,UTAHDWQ_WQX-4955790,1884.31
38.5722,-109.56095,UTAHDWQ_WQX-4956360,1216.62
38.57123,-109.55081,UTAHDWQ_WQX-4956390,1225.66
38.56366,-109.53343,UTAHDWQ_WQX-4956393,1252.23
38.56125,-109.52211,UTAHDWQ_WQX-4956395,1273.85
38.48018,-109.3982,UTAHDWQ_WQX-4956398,1677.13
38.48018,-109.3982,UTAHDWQ_WQX-4956399,1677.13
38.56415,-109.50651,UTAHDWQ_WQX-4956410,1307.81
38.56321,-109.50692,UTAHDWQ_WQX-4956430,1304.64
38.57024,-109.55409,UTAHDWQ_WQX-4956455,1221.37
38.44582,-109.38539,UTAHDWQ_WQX-4956480,1737.89
38.43509,-109.35347,UTAHDWQ_WQX-4956485,1888.28
38.55551,-109.52473,UTAHDWQ_WQX-4956490,1274.41
38.54799,-109.51245,UTAHDWQ_WQX-4956510,1299.41
38.53429,-109.49351,UTAHDWQ_WQX-4956530,1365.31
38.36354,-109.21591,UTAHDWQ_WQX-4958877,2482.84
38.38967,-109.16943,UTAHDWQ_WQX-4958883,2429.83
38.38516,-109.20911,UTAHDWQ_WQX-4958890,2522.07
38.32749,-109.06039,UTAHDWQ_WQX-4958900,1812.23
41.03058,-111.89778,UTAHDWQ_WQX-4990296,1469.48
41.01456,-111.89386,UTAHDWQ_WQX-4990306,1465.12
41.00133,-111.87327,UTAHDWQ_WQX-4990340,1547.8
